Afterburner / 2.6.2 / 16-Sep-2015 / home
c.f.j.p.csv.CsvStdWriteVanilla.writePojoMediaItem            thrpt  145  565165.258 ± 4865.520  ops/s
c.f.j.p.xml.XMLStdWriteVanilla.writePojoMediaItem            thrpt  145  328943.492 ± 1447.476  ops/s
c.f.j.p.avro.AvroStdWriteVanilla.writePojoMediaItem          thrpt  145  299842.313 ± 1498.321  ops/s
c.f.j.p.bson.BSONStdWriteVanilla.writePojoMediaItem          thrpt  145  173885.003 ±  447.169  ops/s
c.f.j.p.msgpack.MsgpackStdWriteVanilla.writePojoMediaItem    thrpt  145  193481.562 ±  691.027  ops/s
c.f.j.p.yaml.YAMLStdWriteVanilla.writePojoMediaItem          thrpt  145   44450.080 ±   72.512  ops/s

## Write Untyped 2.6.2 / 05-Oct-2015 / Home
c.f.j.p.cbor.CBORStdWriteVanilla.writeUntypedMediaItem       thrpt  145  843598.378 ± 4459.061  ops/s
c.f.j.p.smile.SmileStdWriteVanilla.writeUntypedMediaItem     thrpt  145  749256.398 ± 3498.631  ops/s
c.f.j.p.json.JsonStdWriteVanilla.writeUntypedMediaItem       thrpt  145  667603.313 ± 2156.195  ops/s
c.f.j.p.bson.BSONStdWriteVanilla.writeUntypedMediaItem       thrpt  145  193622.680 ±  599.732  ops/s

## Write Tree / 2.6.2 / 05-Oct-2015
c.f.j.p.cbor.CBORStdWriteVanilla.writeNodeMediaItem          thrpt  145  855909.779 ± 2943.482  ops/s
c.f.j.p.smile.SmileStdWriteVanilla.writeNodeMediaItem        thrpt  145  761461.689 ± 2429.953  ops/s
c.f.j.p.json.JsonStdWriteVanilla.writeNodeMediaItem          thrpt  145  694790.955 ± 1383.428  ops/s
c.f.j.p.bson.BSONStdWriteVanilla.writeNodeMediaItem          thrpt  145  194577.890 ±  382.337  ops/s
